album_id,album_name,album_desc,episode_updated,episode_total,genre,area,year,language,director,actor,score,copyright_start_time,copyright_end_time,definition
9643789,鸡毛信（1954）,抗日战争时期，华北根据地龙门村有赵姓父子两人，父亲（舒适 饰）是民兵队中队长，12岁的儿子海娃（蔡元元 饰）则是儿童团团长。某天，赵父让海娃给八路军送一封有关攻打日军炮楼的鸡毛信，海娃装扮成放羊娃赶着一群羊携信上路。路途，海娃遇到敌人，急中生智把信藏在绵羊的尾巴之下，逃过一劫。海娃被迫带路，晚上却趁敌人熟睡取信逃跑，中间信一度得而复失、失而复得，海娃也再落敌人之手，这回，聪明勇敢的他将敌人引上了歧途，而敌人发现上当时，打伤了海娃的手，这时，八路军赶到。,1,1,战争片,内地,1954,普通话,石挥,蔡元元;程之;舒适;蔡安安;李保罗;曹铎;李镛;马立,7.1,2020-05-25 00:00:00,2050-05-25 00:00:00,"2,1"
9643774,豪勇七蛟龙,一群强盗每年都要骚扰墨西哥的一个小村庄。村里的长者派三名农夫去美国，目的是寻找武艺高强的枪手来保卫村庄。最后一共来了7名高手，他们去墨西哥的理由每个人都各不相同。他们人单力薄，要对付100多个前来掠食的强盗。经过一番激战，终于将盗贼歼灭，但七人中亦折损四人，令人伤感不已。,1,1,剧情片,美国,1960,英语,约翰·斯特奇斯,史蒂夫·麦奎因;布拉德·德克斯特;尤·伯连纳;埃里·瓦拉赫;豪斯特·巴奇霍兹;罗伯特·沃恩;詹姆斯·柯本,7.2,2020-05-25 00:00:00,2050-05-25 00:00:00,"32,31,21,2,1"
9355314,春节大联欢,1956年，当时由张骏祥任总执导，谢晋、林农、岑范、王映东任导演的，由中央新闻纪录电影制片厂出品的《春节大联欢》。根据影片内容显示，当时的中央人民广播电台向全国现场直播了当时的演出。当时的很多大师都曾经出镜，如越剧大师徐玉兰、王文娟、评剧大师新凤霞、京剧大师梅兰芳、相声大师侯宝林、人民艺术家老舍、巴金、表演艺术家赵丹等人。,1,1,文艺片,内地,1956,普通话,谢晋;林农;岑范;张骏祥,梅兰芳;郭振清;新凤霞;郭兰英;安琪,8.1,2020-05-25 00:00:00,2023-05-24 00:00:00,"32,31,21,2,1"
9361508,黑人武士, 非洲某一黑人部落酋长把他部族里的一些黑人当作商品，与白人船长交换枪枝与酒。黑人武士塔曼果与其他黑人一起，在船上被戴上镣铐，倍受虐待。塔曼果忍无可忍，遂动员黑人同胞反抗。他亲手扼死了鞭打他们的白人。黑人奴隶们叫着“白人只能卖活人，不能卖死人”而起义了。白人船长无计可施，只能用炮把他们轰死，以承认失败而告终。,1,1,剧情片;历史片,法国,1958,普通话,约翰·贝里,吉恩·塞维斯;多萝西·丹德里奇,7.4,2020-05-25 00:00:00,2023-05-24 00:00:00,"32,31,21,2,1"
9628932,女理发师1962,因为丈夫贾主任（韩非）反对，一心想做理发师的华家芳（王丹凤）只能在家拿着鸡毛掸子练习理发技术，贾主任因工作要出差，华家芳抓住机会来到三八理发室成了3号理发师。不久，华家芳收到丈夫要回家的信，心猿意马理乱了某位顾客的头发，遭到抱怨。贾主任下火车与多年不见的朋友老赵（顾也鲁）叙旧，得知对方嫌弃其妻是餐馆服务员后，口不对心对他进行了一番狠狠的教育。 贾主任慕名来到三八理发室，指定要有“三八红旗手”称号的3号理发师为他理发，华家芳伪装一番后无奈上阵。正在贾主任对华家芳的技术大加赞赏时，前来采访3号理发师的记者破门而入。,1,1,喜剧片;剧情片,内地,1962,普通话,丁然,王丹凤;韩非;高淬;顾也鲁;谢怡冰,7.4,2020-03-27 00:00:00,2050-03-27 00:00:00,"2,1"
9331481,女谍玉娇龙,她的面貌瞬息万变，她杀恶棍片甲不留，生动再现经典大不列颠连环画“女金刚智破钻石案”中超级骗术。构造出一个疯狂而不失沉稳的迷人现代世界。莫迪斯特受政府所雇佣保运一批钻石，在她机智的同伴威利的帮助下，冲破重重迷雾，智破半路劫宝的犯罪集团。,1,1,喜剧片;惊悚片;犯罪片,美国,1966,英语,约瑟夫·罗西,德克·博加德;特伦斯·斯坦普;莫尼卡·维蒂,7.2,2020-07-23 00:00:00,2050-07-23 00:00:00,"32,31,21,2,1"
9628933,倩女幽魂1960,明末清初，山河离乱。落魄书生宁采臣（赵雷 饰）遍寻旅店不得，不顾他人劝阻落脚闹鬼的金华古寺。宁与古寺中的方外侠客燕赤霞（杨志卿 饰）相谈甚欢，后夜逢女鬼聂小倩（乐蒂 饰）。小倩以美色诱人，中计者无不被她的主人千年树精姥姥（唐若菁 饰）吸血而死。小倩本欲加害采臣，但为其忠厚耿直感动，不忍下手，两人渐生感情。姥姥得知此事，势要除此二人。不得已，宁采臣求助燕赤霞，一场人鬼大战就此展开。,1,1,爱情片;恐怖片;古装片,香港,1960,普通话,李翰祥,杨志卿;乐蒂;赵雷;唐若青,7.4,2020-03-27 00:00:00,2050-03-27 00:00:00,"2,1"
9628917,亚洲秘密警探1966,本片乃邵氏与日本日活公司合作拍摄的占士邦式动作片。走私黄金的犯罪组织首领乔治伊顿(宾户锭 饰)潜逃香港，亚洲秘密警察日本支部探员杨明轩(王羽饰)远赴香港缉凶，期间结识香港密探赖雨田(王侠 饰)，更周旋于美女杏子(浅丘琉璃子 饰)、春子(滨川智子 饰)及杨明华(方盈 饰)之间。,1,1,剧情片,香港,1966,普通话,麦志和,王羽;浅丘琉璃子;方盈;王侠;宍户锭,7.2,2020-03-27 00:00:00,2050-03-27 00:00:00,"21,2,1"
9628916,野姑娘1966,貌美村姑金小芳（李菁）勇敢机智，乐于助人。一日小芳到郊外边歌边摘橘柑，惹来七八个阿飞调戏，幸她及时召来村民，把众阿飞赶走。事后小芳得知那群阿飞原是钜富唐家大少爷唐尼（康威）的朋友，惴惴不安。唐尼欲代众阿飞出头，设计将小芳骗来，加以报复。小芳情人大海（凌云）及时赶到，救出小芳，但二人寡不敌众，形势危急。,1,1,爱情片;音乐片,香港,1966,普通话,吴家骧,李菁;凌云;欧阳莎菲;康威,7.4,2020-03-27 00:00:00,2050-03-27 00:00:00,"31,21,2,1"
9628920,金菩萨1966,陈氏家族失落的巨大宝藏「金菩萨」误落在保险公司调查员张保罗（张冲）手上，引来连串追杀，而陈家成员之一陈美兰（林翠）因拥有另一座金菩萨亦成为目标之一。为了追查真相，张与陈历尽艰辛，合力对抗，引发连场鎗战，最终既智破「金菩萨」之谜，又勇破非法集团夺产阴谋。,1,1,动作片,美国,1966,普通话,罗维,林翠;张冲;罗维;范厉,7.3,2020-03-27 00:00:00,2050-03-27 00:00:00,"21,2,1"
